City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,ridgecrest,35.6225,-117.6709,83.68,18,0,1.01,US,Tue Oct 17 14:11:29 2023
140,quimili,-27.6333,-62.4167,68.13,71,100,18.63,AR,Tue Oct 17 14:15:47 2023
141,klyuchi,52.2667,79.1667,48.88,59,76,7.47,RU,Tue Oct 17 14:15:47 2023
142,tevriz,57.509,72.4042,47.01,88,6,5.37,RU,Tue Oct 17 14:15:48 2023
143,recreo,-29.2818,-65.061,75.9,36,100,22.5,AR,Tue Oct 17 14:15:48 2023
144,gangtok,27.3333,88.6167,51.33,80,27,5.35,IN,Tue Oct 17 14:15:48 2023
145,san antonio de pale,-1.4014,5.6325,78.01,78,40,5.53,GQ,Tue Oct 17 14:15:48 2023
146,tosontsengel,48.7567,98.2839,29.82,40,100,6.82,MN,Tue Oct 17 14:15:48 2023
147,puerto armuelles,8.2833,-82.8667,82.38,78,64,7.0,PA,Tue Oct 17 14:15:48 2023
148,veraval,20.9,70.3667,80.04,74,0,8.25,IN,Tue Oct 17 14:15:48 2023
149,colonia,50.9333,6.95,49.95,71,0,6.91,DE,Tue Oct 17 14:15:49 2023
150,rodolfo sanchez taboada,31.7167,-116.5667,67.1,76,100,4.0,MX,Tue Oct 17 14:15:49 2023
151,gadzhiyevo,69.2551,33.3362,35.85,70,100,15.3,RU,Tue Oct 17 14:15:49 2023
152,hamilton,39.1834,-84.5333,58.59,69,100,10.36,US,Tue Oct 17 14:14:05 2023
153,gisborne,-38.6533,178.0042,56.5,86,69,1.72,NZ,Tue Oct 17 14:15:49 2023
154,baile herculane,44.8797,22.4125,45.72,59,77,4.25,RO,Tue Oct 17 14:15:50 2023
155,namibe,-15.1961,12.1522,65.66,81,100,9.6,AO,Tue Oct 17 14:15:50 2023
156,jamestown,42.097,-79.2353,50.02,90,100,5.01,US,Tue Oct 17 14:14:56 2023
157,nova sintra,14.8667,-24.7167,76.46,73,0,21.3,CV,Tue Oct 17 14:15:50 2023
158,nova vicosa,-17.8919,-39.3719,80.44,66,9,14.45,BR,Tue Oct 17 14:15:50 2023
159,tateyama,34.9833,139.8667,63.1,72,13,15.26,JP,Tue Oct 17 14:15:51 2023
160,mogok,22.9167,96.5,62.11,85,0,3.33,MM,Tue Oct 17 14:15:51 2023
161,lorengau,-2.0226,147.2712,79.84,80,100,3.02,PG,Tue Oct 17 14:15:51 2023
162,nyrob,60.733,56.7202,46.38,86,100,11.01,RU,Tue Oct 17 14:15:51 2023
163,dihok,36.8695,42.994,72.1,40,54,1.05,IQ,Tue Oct 17 14:15:51 2023
164,maceio,-9.6658,-35.7353,80.04,61,75,9.22,BR,Tue Oct 17 14:13:38 2023
165,severnoye,56.3491,78.3619,46.98,91,3,5.99,RU,Tue Oct 17 14:15:52 2023
166,natal,-5.795,-35.2094,83.05,61,20,20.71,BR,Tue Oct 17 14:15:36 2023
167,newman,37.3138,-121.0208,79.23,50,0,8.01,US,Tue Oct 17 14:15:52 2023
168,meadow lake,34.8014,-106.5436,80.58,27,4,2.66,US,Tue Oct 17 14:15:52 2023
169,antofagasta,-23.65,-70.4,67.28,62,15,7.99,CL,Tue Oct 17 14:15:35 2023
170,laguna,38.421,-121.4238,81.97,46,0,8.05,US,Tue Oct 17 14:15:52 2023
171,avarua,-21.2078,-159.775,73.45,73,49,9.22,CK,Tue Oct 17 14:14:22 2023
172,daru,-9.0763,143.2092,76.75,90,100,9.64,PG,Tue Oct 17 14:15:53 2023
173,turpan,42.9333,89.1667,58.8,24,0,8.86,CN,Tue Oct 17 14:15:53 2023
174,hasaki,35.7333,140.8333,55.8,63,99,8.16,JP,Tue Oct 17 14:15:53 2023
175,greymouth,-42.4667,171.2,44.53,90,48,6.26,NZ,Tue Oct 17 14:15:53 2023
176,arinos,-15.9169,-46.1056,98.56,17,5,6.82,BR,Tue Oct 17 14:15:53 2023
177,ilulissat,69.2167,-51.1,6.82,66,20,3.44,GL,Tue Oct 17 14:15:53 2023
178,dunedin,-45.8742,170.5036,44.29,82,77,2.73,NZ,Tue Oct 17 14:15:53 2023
179,tvoroyri,61.5556,-6.8111,48.07,89,100,18.21,FO,Tue Oct 17 14:15:54 2023
180,longyearbyen,78.2186,15.6401,24.64,58,0,11.5,SJ,Tue Oct 17 14:15:54 2023
181,kurumkan,54.3,110.3,35.13,78,100,5.01,RU,Tue Oct 17 14:15:54 2023
182,alta,69.9689,23.2717,24.19,83,0,5.75,NO,Tue Oct 17 14:15:54 2023
183,fruita,39.1589,-108.729,71.58,27,0,5.75,US,Tue Oct 17 14:15:54 2023
184,saint-philippe,-21.3585,55.7679,76.59,83,100,6.42,RE,Tue Oct 17 14:15:54 2023
